имя файла	наденное имя	количество вхождений
_itartass3.xhtml	Москва	2
_itartass3.xhtml	ИТАР-ТАСС	1
_itartass3.xhtml	Сергей	1
_itartass3.xhtml	Останин	1
_itartass3.xhtml	Россия	1
_itartass3.xhtml	СССР	1
_itartass3.xhtml	Ельня	1
_itartass3.xhtml	ВМФ	1
_itartass3.xhtml	Борис	1
_itartass3.xhtml	Гормылев	1
_rbk3.xhtml	Китай	12
_rbk3.xhtml	США	6
_rbk3.xhtml	КНР	3
_rbk3.xhtml	Guardian	3
_rbk3.xhtml	Москва	2
_rbk3.xhtml	Тайвань	2
_rbk3.xhtml	Индия	2
_rbk3.xhtml	Пекин	2
_rbk3.xhtml	ИТАР-ТАСС	1
_rbk3.xhtml	Сергей	1
_rbk3.xhtml	Останин	1
_rbk3.xhtml	Россия	1
_rbk3.xhtml	СССР	1
_rbk3.xhtml	Ельня	1
_rbk3.xhtml	ВМФ	1
_rbk3.xhtml	Борис	1
_rbk3.xhtml	Гормылев	1
_rbk3.xhtml	ВВП	1
_rbk3.xhtml	П	1
_rbk3.xhtml	Вулфовиц	1
_rbk3.xhtml	XXI	1
_rbk3.xhtml	Германия	1
_rbk3.xhtml	Азия	1
_rbk3.xhtml	Пакистан	1
_rbk3.xhtml	Киргизия	1
_rbk3.xhtml	Вашингтон	1
_rbk3.xhtml	КНДР	1
_itartass4.xhtml	Китай	12
_itartass4.xhtml	США	6
_itartass4.xhtml	КНР	3
_itartass4.xhtml	Guardian	3
_itartass4.xhtml	Иркутск	3
_itartass4.xhtml	Москва	2
_itartass4.xhtml	ИТАР-ТАСС	2
_itartass4.xhtml	Россия	2
_itartass4.xhtml	Тайвань	2
_itartass4.xhtml	Индия	2
_itartass4.xhtml	Пекин	2
_itartass4.xhtml	Владимир	2
_itartass4.xhtml	Александр	2
_itartass4.xhtml	Соколов	2
_itartass4.xhtml	Сергей	1
_itartass4.xhtml	Останин	1
_itartass4.xhtml	СССР	1
_itartass4.xhtml	Ельня	1
_itartass4.xhtml	ВМФ	1
_itartass4.xhtml	Борис	1
_itartass4.xhtml	Гормылев	1
_itartass4.xhtml	ВВП	1
_itartass4.xhtml	П	1
_itartass4.xhtml	Вулфовиц	1
_itartass4.xhtml	XXI	1
_itartass4.xhtml	Германия	1
_itartass4.xhtml	Азия	1
_itartass4.xhtml	Пакистан	1
_itartass4.xhtml	Киргизия	1
_itartass4.xhtml	Вашингтон	1
_itartass4.xhtml	КНДР	1
_itartass4.xhtml	Ходий	1
_itartass4.xhtml	РФ	1
_itartass4.xhtml	Юрий	1
_itartass4.xhtml	Лотман	1
_itartass4.xhtml	Байкал	1
_itartass4.xhtml	Спиваков	1
_itartass4.xhtml	Елена	1
_itartass4.xhtml	Образцова	1
_itartass4.xhtml	Гарри	1
_itartass4.xhtml	Гродберг	1
_itartass4.xhtml	Георгий	1
_itartass4.xhtml	Гаранян	1
_rian3.xhtml	Китай	12
_rian3.xhtml	США	6
_rian3.xhtml	КНР	3
_rian3.xhtml	Guardian	3
_rian3.xhtml	Иркутск	3
_rian3.xhtml	Москва	2
_rian3.xhtml	ИТАР-ТАСС	2
_rian3.xhtml	Россия	2
_rian3.xhtml	Германия	2
_rian3.xhtml	Тайвань	2
_rian3.xhtml	Индия	2
_rian3.xhtml	Пекин	2
_rian3.xhtml	Владимир	2
_rian3.xhtml	Александр	2
_rian3.xhtml	Соколов	2
_rian3.xhtml	Сергей	1
_rian3.xhtml	Останин	1
_rian3.xhtml	СССР	1
_rian3.xhtml	Ельня	1
_rian3.xhtml	ВМФ	1
_rian3.xhtml	Борис	1
_rian3.xhtml	Гормылев	1
_rian3.xhtml	ВВП	1
_rian3.xhtml	П	1
_rian3.xhtml	Вулфовиц	1
_rian3.xhtml	XXI	1
_rian3.xhtml	Азия	1
_rian3.xhtml	Пакистан	1
_rian3.xhtml	Киргизия	1
_rian3.xhtml	Вашингтон	1
_rian3.xhtml	КНДР	1
_rian3.xhtml	Ходий	1
_rian3.xhtml	РФ	1
_rian3.xhtml	Юрий	1
_rian3.xhtml	Лотман	1
_rian3.xhtml	Байкал	1
_rian3.xhtml	Спиваков	1
_rian3.xhtml	Елена	1
_rian3.xhtml	Образцова	1
_rian3.xhtml	Гарри	1
_rian3.xhtml	Гродберг	1
_rian3.xhtml	Георгий	1
_rian3.xhtml	Гаранян	1
_rian3.xhtml	ДТП	1
_rian3.xhtml	Лоерах	1
_rian3.xhtml	Ananova	1
_rian3.xhtml	Quote	1
_rian3.xhtml	Юкос	1
_rbk6.xhtml	Китай	12
_rbk6.xhtml	США	6
_rbk6.xhtml	КНР	3
_rbk6.xhtml	Guardian	3
_rbk6.xhtml	Иркутск	3
